nodeid,rdtimestamp,rssi,snr
tinovi-05,1742785200,-80.0,9.5
tinovi-06,1742785200,-78.0,7.0
milesight-01,1742786100,-79.5,9.9
milesight-02,1742786100,-82.0,9.9
tinovi-01,1742786100,-80.0,10.1
tinovi-02,1742786100,-74.0,9.5
tinovi-03,1742786100,-92.0,9.3
tinovi-04,1742786100,-73.5,9.4
tinovi-05,1742786100,-77.0,8.0
tinovi-06,1742786100,-78.0,8.4
milesight-01,1742787000,-79.0,9.5
milesight-02,1742787000,-87.0,9.3
tinovi-01,1742787000,-77.0,9.8
tinovi-02,1742787000,-75.0,8.5
tinovi-03,1742787000,-91.0,8.0
tinovi-04,1742787000,-70.0,7.3
tinovi-05,1742787000,-79.0,9.0
tinovi-06,1742787000,-80.0,8.5
milesight-01,1742787900,-80.0,8.8
milesight-02,1742787900,-86.0,8.1
tinovi-01,1742787900,-79.0,8.6
tinovi-02,1742787900,-71.0,9.0
tinovi-03,1742787900,-89.0,10.3
tinovi-04,1742787900,-71.5,8.8
tinovi-05,1742787900,-81.0,9.9
tinovi-06,1742787900,-81.0,8.1
milesight-01,1742788800,-78.0,7.8
milesight-02,1742788800,-85.0,7.3
tinovi-01,1742788800,-79.0,9.5
tinovi-02,1742788800,-72.5,8.6
tinovi-03,1742788800,-86.5,7.6
tinovi-04,1742788800,-72.0,7.8
tinovi-05,1742788800,-77.0,9.5
tinovi-06,1742788800,-79.0,8.5
milesight-01,1742789700,-78.0,10.0
milesight-02,1742789700,-80.0,9.9
tinovi-01,1742789700,-78.0,8.8
tinovi-02,1742789700,-69.0,9.0
tinovi-03,1742789700,-87.0,8.5
tinovi-04,1742789700,-72.5,7.9
tinovi-05,1742789700,-78.5,9.0
tinovi-06,1742789700,-78.5,8.0
milesight-01,1742790600,-78.0,7.5
milesight-02,1742790600,-81.0,10.0
tinovi-01,1742790600,-80.0,9.5
tinovi-02,1742790600,-73.5,9.6
tinovi-03,1742790600,-90.0,9.0
tinovi-04,1742790600,-73.0,8.8
tinovi-05,1742790600,-80.0,10.0
tinovi-06,1742790600,-79.0,9.5
milesight-01,1742791500,-79.5,9.1
milesight-02,1742791500,-85.5,8.6
tinovi-01,1742791500,-78.0,9.8
tinovi-02,1742791500,-74.0,9.5
tinovi-03,1742791500,-90.0,9.3
