nodeid,rdtimestamp,rssi,snr
tinovi-05,1711249200,-74.0,10.0
tinovi-06,1711249200,-83.0,9.5
milesight-01,1711250100,-71.0,7.8
milesight-02,1711250100,-77.0,10.0
tinovi-01,1711250100,-74.5,8.6
tinovi-02,1711250100,-76.0,9.3
tinovi-03,1711250100,-76.5,9.3
tinovi-04,1711250100,-92.0,9.3
tinovi-05,1711250100,-71.5,8.5
tinovi-06,1711250100,-82.0,8.9
milesight-01,1711251000,-72.5,9.8
milesight-02,1711251000,-80.5,10.1
tinovi-01,1711251000,-74.0,10.0
tinovi-02,1711251000,-74.0,8.8
tinovi-03,1711251000,-79.0,9.0
tinovi-04,1711251000,-90.0,8.8
tinovi-05,1711251000,-73.0,9.3
tinovi-06,1711251000,-80.0,8.5
milesight-01,1711251900,-73.0,9.8
milesight-02,1711251900,-80.0,9.0
tinovi-01,1711251900,-71.5,9.1
tinovi-02,1711251900,-76.0,8.3
tinovi-03,1711251900,-78.5,8.5
tinovi-04,1711251900,-92.0,8.8
tinovi-05,1711251900,-71.0,9.4
tinovi-06,1711251900,-82.0,8.3
milesight-01,1711252800,-72.0,9.4
milesight-02,1711252800,-79.0,10.1
tinovi-01,1711252800,-74.0,9.5
tinovi-02,1711252800,-75.0,10.3
tinovi-03,1711252800,-79.0,9.0
tinovi-04,1711252800,-93.0,7.6
tinovi-05,1711252800,-71.0,9.5
tinovi-06,1711252800,-81.0,8.8
milesight-01,1711253700,-72.0,7.3
milesight-02,1711253700,-77.0,7.0
tinovi-01,1711253700,-75.0,10.0
tinovi-02,1711253700,-74.5,8.0
tinovi-03,1711253700,-77.0,8.1
tinovi-04,1711253700,-93.0,8.5
tinovi-05,1711253700,-72.5,8.9
tinovi-06,1711253700,-83.0,8.3
milesight-01,1711254600,-72.5,8.6
milesight-02,1711254600,-80.5,9.1
tinovi-01,1711254600,-77.0,7.5
tinovi-02,1711254600,-75.0,9.5
tinovi-03,1711254600,-76.0,9.3
tinovi-04,1711254600,-93.0,8.9
tinovi-05,1711254600,-71.0,10.0
tinovi-06,1711254600,-81.0,8.0
milesight-01,1711255500,-73.0,10.0
milesight-02,1711255500,-83.0,10.0
tinovi-01,1711255500,-77.0,10.1
tinovi-02,1711255500,-78.0,9.6
tinovi-03,1711255500,-78.5,9.5
tinovi-04,1711255500,-86.0,9.0
tinovi-05,1711255500,-73.0,8.6
tinovi-06,1711255500,-82.0,9.1
